date_created,notification_id,user_id,is_available,is_determined_to_adhere,is_perceived
2025-03-25T10:20:37.000+05:00,281,2,true,true,true
2025-03-25T12:20:51.000+05:00,288,2,true,true,true
2025-03-25T15:22:15.000+05:00,295,2,false,false,true
2025-03-25T16:15:01.991+05:00,302,2,false,false,false
2025-03-25T10:15:54.000+05:00,282,3,true,true,true
2025-03-25T12:15:02.983+05:00,289,3,false,false,false
2025-03-25T14:19:44.000+05:00,296,3,true,true,true
2025-03-25T16:15:02.449+05:00,303,3,false,false,false
2025-03-25T11:03:16.000+05:00,283,4,true,true,true
2025-03-25T14:11:17.000+05:00,290,4,false,false,true
2025-03-25T14:16:00.000+05:00,297,4,true,true,true
2025-03-25T16:16:41.000+05:00,304,4,true,true,true
2025-03-25T19:25:15.000+05:00,284,5,false,false,true
2025-03-25T19:26:54.000+05:00,291,5,true,true,true
2025-03-25T21:22:55.000+05:00,298,5,false,false,true
2025-03-25T21:32:13.000+05:00,305,5,true,true,true
2025-03-25T10:15:03.679+05:00,285,6,false,false,false
2025-03-25T12:49:42.000+05:00,292,6,true,true,true
2025-03-25T14:15:04.056+05:00,299,6,false,false,false
2025-03-25T17:25:05.000+05:00,306,6,true,true,true
2025-03-25T10:15:04.149+05:00,286,7,false,false,false
2025-03-25T12:15:04.906+05:00,293,7,false,false,false
2025-03-25T14:15:04.680+05:00,300,7,false,false,false
2025-03-25T16:15:04.208+05:00,307,7,false,false,false
2025-03-25T10:43:56.000+05:00,287,8,true,true,true
2025-03-25T13:03:38.000+05:00,294,8,true,true,true
2025-03-25T14:15:05.221+05:00,301,8,false,false,false
2025-03-25T16:15:04.624+05:00,308,8,false,false,false
