location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At study,Somewhat positive,Smartphone,2,617,Studying,4,true,false,false,2,4,With friends,2,7,0
In transit,Neutral,Smartphone,2,624,Commuting,4,true,true,false,3,2,In a public,3,7,0
At home,Somewhat positive,Smartphone,2,631,Other,4,true,false,false,1,4,With family,2,7,0
At home,Somewhat positive,Smartphone,2,638,Using social media,4,true,false,false,1,5,Alone,3,7,0
At study,Neutral,Smartphone,3,618,Studying,4,true,true,false,4,3,With friends,3,7,0
At study,Very positive,Smartphone,3,625,Using social media,3,true,false,false,3,5,With friends,2,7,1
At study,Neutral,Laptop/Desktop,3,632,Studying,3,true,true,false,3,3,Alone,1,7,3
In transit,Neutral,Smartwatch,3,639,Commuting,3,false,true,false,5,3,In a public,5,7,3
At study,Somewhat positive,Laptop/Desktop,4,619,Studying,2,true,false,false,2,4,With friends,2,8,4
In transit,Somewhat positive,Smartphone,4,626,Commuting,4,true,false,false,3,4,In a public,3,8,4
At home,Neutral,Smartphone,4,633,Sleeping,2,false,true,false,3,3,Alone,3,9,4
At home,Somewhat positive,Smartphone,4,640,Using social media,2,true,false,true,1,4,Alone,1,9,5
At home,Very positive,Smartphone,5,620,Exercising,3,true,false,false,2,4,Alone,2,7,0
At home,Neutral,Laptop/Desktop,5,627,Other,2,false,true,false,3,2,With family,4,7,2
At home,Neutral,Laptop/Desktop,5,634,Studying,3,false,true,false,2,3,Alone,2,7,4
At home,Somewhat positive,Laptop/Desktop,5,641,Working,3,false,true,false,2,2,Alone,2,7,5
At study,Very positive,Smartphone,7,622,Studying,3,true,false,false,2,5,With friends,1,8,0
In transit,Neutral,Smartphone,7,629,Commuting,4,true,true,false,5,3,Alone,1,8,0
At home,Neutral,Smartphone,7,636,Other,4,true,true,false,3,1,With family,5,8,0
Outdoors,Neutral,Smartphone,7,643,Other,3,true,true,false,5,1,With family,5,8,0
At work,Very positive,Smartphone,8,623,Working,4,true,false,false,1,5,With friends,1,9,2
Outdoors,Very positive,Smartphone,8,630,Working,4,true,false,false,1,5,With friends,1,0,2
At work,Very positive,Other,8,637,Commuting,4,true,false,false,1,5,With colleagues,1,0,2
At work,Very positive,Laptop/Desktop,8,644,Other,4,true,false,true,1,5,In a public,1,0,2
,,,6,621,,,,,,,,,,,
,,,6,628,,,,,,,,,,,
,,,6,635,,,,,,,,,,,
,,,6,642,,,,,,,,,,,
