location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Neutral,Smartphone,2,85,Working,4,true,false,false,3,2,With colleagues,4,5,8
At work,Neutral,Smartphone,2,92,Working,4,true,false,false,2,3,With colleagues,1,5,4
At work,Neutral,Laptop/Desktop,2,99,Working,4,true,false,true,3,4,With colleagues,3,0,4
At work,Neutral,Smartphone,2,106,Working,4,true,true,false,3,3,With colleagues,5,5,8
At home,Somewhat negative,Smartphone,3,86,Sleeping,1,false,true,true,1,1,Alone,1,10,0
In transit,Neutral,Smartwatch,3,93,Commuting,3,true,true,false,5,2,In a public,5,10,2
Outdoors,Somewhat positive,Smartphone,3,100,Using social media,4,true,false,false,3,4,With friends,2,10,4
At work,Somewhat negative,Laptop/Desktop,3,107,Working,1,false,false,false,3,1,Alone,1,10,7
At home,Somewhat positive,Smartphone,4,87,Sleeping,4,true,false,true,1,4,Alone,1,9,0
At work,Neutral,Laptop/Desktop,4,94,Working,4,true,false,false,2,3,With colleagues,2,8,3
At work,Somewhat positive,Laptop/Desktop,4,101,Working,3,true,false,false,2,4,With colleagues,2,8,5
At work,Somewhat positive,Laptop/Desktop,4,108,Working,3,true,false,false,1,4,With colleagues,1,8,6
In transit,Somewhat negative,Smartphone,5,88,Commuting,2,true,true,false,2,3,In a public,2,8,0
In transit,Somewhat positive,Smartphone,5,95,Commuting,2,true,true,false,2,4,In a public,1,8,0
In transit,Very positive,Smartphone,5,102,Commuting,2,true,true,false,1,4,In a public,1,8,0
At home,Very positive,Smartphone,5,109,Other,2,true,false,false,2,5,With family,3,8,3
At home,Somewhat positive,Smartphone,6,89,Using social media,4,true,false,true,2,5,With family,2,7,1
Outdoors,Somewhat positive,Smartphone,6,96,Exercising,4,false,false,false,2,3,Alone,1,7,1
At home,Very positive,Smartphone,6,103,Working,4,true,false,false,1,3,Alone,1,7,1
Outdoors,Neutral,Smartphone,6,110,Using social media,3,false,true,false,4,4,With friends,4,7,1
At home,Neutral,Smartphone,7,90,Sleeping,2,false,true,true,1,3,Alone,1,8,0
At home,Neutral,Smartphone,7,97,Sleeping,2,true,true,true,1,3,Alone,1,8,0
At home,Somewhat negative,Laptop/Desktop,7,104,Working,4,true,false,false,1,3,Alone,1,8,1
At home,Somewhat positive,Smartphone,7,111,Using social media,3,true,false,false,1,4,Alone,1,8,3
At work,Neutral,Smartphone,8,91,Working,3,true,true,false,4,3,With colleagues,3,8,2
At work,Neutral,Smartphone,8,98,Working,3,true,false,false,3,4,With colleagues,3,0,4
At work,Somewhat negative,Smartphone,8,105,Sleeping,4,false,true,true,3,1,Alone,3,1,6
At work,Somewhat negative,Smartphone,8,112,Sleeping,3,true,true,false,4,2,With colleagues,4,0,7
