location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At study,Neutral,Smartphone,2,253,Other,4,true,true,false,4,3,With friends,5,6,0
At work,Neutral,Smartphone,2,260,Working,4,true,true,false,4,2,With colleagues,2,6,1
At work,Somewhat positive,Smartphone,2,267,Working,4,true,false,false,2,4,With colleagues,2,6,3
At work,Neutral,Smartphone,2,274,Working,4,true,true,false,4,2,With colleagues,4,6,5
At home,Neutral,Smartphone,3,254,Sleeping,3,false,true,false,1,2,Alone,1,10,0
At home,Somewhat positive,Smartphone,3,261,Watching TV,4,true,false,false,2,4,Alone,1,10,1
At work,Somewhat positive,Laptop/Desktop,3,268,Working,3,false,true,false,4,2,With colleagues,5,10,3
In transit,Somewhat positive,Smartphone,3,275,Commuting,4,false,true,false,5,3,In a public,5,10,6
In transit,Somewhat positive,Smartphone,4,255,Commuting,2,true,false,false,1,4,In a public,1,6,0
At study,Neutral,Smartphone,4,262,Studying,3,true,false,false,1,3,In a public,1,6,0
In transit,Somewhat positive,Laptop/Desktop,4,269,Other,1,true,true,true,3,2,Alone,1,8,3
Outdoors,Somewhat negative,Smartphone,4,276,Commuting,3,false,true,false,2,2,Alone,3,7,7
At study,Somewhat positive,Smartphone,5,256,Other,4,false,true,false,3,4,With colleagues,2,8,0
At study,Somewhat positive,Smartphone,5,263,Studying,4,false,true,false,4,3,With friends,3,8,0
In transit,Somewhat positive,Smartphone,5,270,Commuting,3,false,true,false,3,4,In a public,2,8,0
At home,Very positive,Smartphone,5,277,Using social media,4,true,false,false,1,5,Alone,1,8,2
At home,Neutral,Smartphone,6,257,Studying,3,true,false,false,3,3,Alone,3,7,2
At home,Somewhat positive,Smartphone,6,264,Studying,2,false,false,false,4,4,Alone,1,7,2
At home,Neutral,Smartphone,6,271,Sleeping,2,false,true,false,3,3,Alone,3,7,2
At home,Neutral,Smartphone,6,278,Studying,3,true,false,false,2,4,Alone,2,7,2
At home,Neutral,Smartphone,7,258,Sleeping,2,false,true,false,1,1,Alone,1,8,0
At home,Neutral,Smartphone,7,265,Sleeping,2,true,true,false,1,1,Alone,1,8,0
At home,Somewhat positive,Smartphone,7,272,Studying,4,true,false,false,1,4,Alone,1,8,0
At home,Neutral,Smartphone,7,279,Studying,3,true,true,false,1,1,Alone,1,8,0
At work,Somewhat positive,Smartphone,8,259,Working,4,true,false,true,2,4,Alone,2,9,0
At work,Very positive,Smartphone,8,266,Working,4,true,false,true,2,5,With colleagues,2,0,0
At work,Somewhat positive,Smartphone,8,273,Working,4,true,false,false,2,4,With colleagues,2,0,3
At work,Somewhat positive,Smartphone,8,280,Working,4,true,false,true,2,4,With colleagues,2,0,0
