location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At home,Neutral,Smartphone,2,393,Sleeping,4,true,true,true,3,3,Alone,3,8,0
Outdoors,Neutral,Smartphone,2,400,Other,4,true,true,false,5,3,In a public,3,8,0
Outdoors,Neutral,Smartphone,2,407,Other,4,true,true,false,5,3,In a public,5,8,0
Outdoors,Neutral,Smartphone,2,414,Exercising,4,true,true,false,4,3,In a public,5,8,0
At home,Very negative,Smartphone,3,394,Sleeping,3,false,true,false,1,1,Alone,1,10,0
At home,Somewhat negative,Smartphone,3,401,Other,3,true,false,false,1,1,Alone,1,10,0
At home,Neutral,Laptop/Desktop,3,408,Studying,3,false,true,false,1,3,Alone,1,10,0
Outdoors,Neutral,Smartwatch,3,415,Other,4,true,false,false,3,3,With friends,1,10,0
At home,Neutral,Smartphone,4,395,Sleeping,2,false,true,false,1,3,With colleagues,2,8,0
In transit,Neutral,Smartphone,4,402,Commuting,2,false,false,false,1,3,In a public,1,9,0
At work,Somewhat positive,Laptop/Desktop,4,409,Working,2,true,false,false,1,4,With colleagues,1,9,1
At work,Somewhat positive,Laptop/Desktop,4,416,Other,3,true,false,false,1,1,With colleagues,1,9,4
At home,Very positive,Smartphone,5,396,Exercising,3,true,false,false,2,4,With family,2,8,0
At home,Very positive,Smartphone,5,403,Using social media,4,true,false,false,1,5,Alone,1,8,2
At home,Neutral,Smartphone,5,410,Other,2,false,true,false,4,2,With family,4,8,4
At home,Somewhat positive,Smartphone,5,417,Other,1,false,true,false,5,1,With family,5,8,4
At home,Somewhat positive,Smartphone,6,397,Exercising,3,true,false,false,3,5,Alone,1,9,2
Outdoors,Very positive,Smartphone,6,404,Other,4,true,false,false,3,5,In a public,3,9,2
Outdoors,Somewhat positive,Smartphone,6,411,Commuting,3,true,false,false,4,4,Alone,2,9,5
At home,Very positive,Smartphone,6,418,Studying,3,true,false,false,2,5,Alone,3,7,2
At home,Neutral,Smartphone,7,398,Sleeping,2,false,true,false,1,1,Alone,1,5,0
At home,Neutral,Smartphone,7,405,Sleeping,2,true,true,false,1,1,Alone,1,7,0
At home,Somewhat positive,Laptop/Desktop,7,412,Studying,4,true,false,false,1,5,Alone,1,8,0
Outdoors,Neutral,Smartphone,7,419,Other,3,true,false,false,2,4,With family,1,8,0
Outdoors,Very positive,Smartphone,8,399,Commuting,4,true,false,true,5,5,Alone,5,7,0
Outdoors,Very positive,Smartphone,8,406,Commuting,4,true,false,true,5,5,Alone,5,7,0
Outdoors,Very positive,Smartphone,8,413,Commuting,4,true,false,true,5,5,Alone,5,7,0
Outdoors,Very positive,Smartphone,8,420,Commuting,4,true,false,true,5,5,Alone,5,7,0
