location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Somewhat positive,Smartphone,2,477,Working,4,true,false,false,3,4,With colleagues,2,7,0
At work,Somewhat negative,Smartphone,2,484,Working,4,true,true,false,5,2,With colleagues,4,7,2
At work,Neutral,Smartphone,2,491,Working,4,true,false,false,3,3,With colleagues,3,7,0
At work,Somewhat positive,Smartphone,2,498,Working,4,true,false,false,2,4,With colleagues,2,7,6
At home,Neutral,Smartphone,3,478,Sleeping,3,false,true,false,1,3,Alone,1,10,0
In transit,Somewhat positive,Smartwatch,3,485,Commuting,3,false,true,false,4,3,In a public,5,10,0
Outdoors,Neutral,Smartphone,3,492,Using social media,4,true,false,false,3,5,With friends,3,10,1
At work,Somewhat negative,Laptop/Desktop,3,499,Working,4,false,true,false,5,1,With colleagues,5,10,3
In transit,Neutral,Smartphone,4,479,Commuting,3,true,false,true,3,3,In a public,4,8,0
Outdoors,Somewhat positive,Smartphone,4,486,Other,4,true,false,false,4,4,In a public,2,8,0
At work,Very negative,Laptop/Desktop,4,493,Working,2,false,true,false,4,5,With colleagues,1,8,2
At work,Somewhat positive,Smartphone,4,500,Working,2,true,false,false,1,4,With colleagues,2,8,5
At work,Very positive,Laptop/Desktop,5,480,Working,4,true,false,false,2,5,With colleagues,2,7,1
At home,Somewhat positive,Laptop/Desktop,5,487,Other,3,false,true,false,3,2,Alone,1,7,2
At home,Neutral,Laptop/Desktop,5,494,Working,4,true,false,false,3,3,Alone,3,7,3
Outdoors,Somewhat negative,Smartphone,5,501,Working,3,true,true,false,3,2,In a public,4,7,4
At home,Neutral,Smartphone,6,481,Working,3,false,true,false,3,4,Alone,3,9,4
Outdoors,Neutral,Smartphone,6,488,Studying,3,true,false,false,3,5,Alone,3,7,2
At home,Neutral,Smartphone,6,495,Working,3,false,true,false,3,3,Alone,3,9,3
At home,Neutral,Smartphone,6,502,Working,3,false,true,false,3,3,Alone,3,9,3
At home,Neutral,Smartphone,7,482,Sleeping,2,false,true,false,1,1,Alone,1,5,0
At home,Somewhat positive,Smartphone,7,489,Studying,4,true,false,false,1,4,Alone,1,5,0
At home,Neutral,Smartphone,7,496,Sleeping,2,true,true,false,1,1,Alone,1,6,0
At home,Neutral,Smartphone,7,503,Sleeping,2,true,true,false,1,1,Alone,1,8,0
In transit,Neutral,Smartphone,8,483,Other,4,true,true,false,3,3,In a public,3,8,0
At work,Somewhat positive,Smartphone,8,490,Working,4,true,false,false,2,4,With colleagues,2,0,2
At work,Somewhat positive,Smartphone,8,497,Working,4,true,false,false,2,4,With colleagues,2,0,2
At work,Somewhat positive,Smartphone,8,504,Working,4,true,false,false,2,4,With colleagues,2,0,2
