location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Neutral,Smartphone,2,113,Working,4,false,true,false,3,2,With colleagues,2,4,2
At work,Neutral,Laptop/Desktop,2,120,Working,4,true,false,true,2,4,With colleagues,2,4,4
At work,Somewhat negative,Smartphone,2,127,Working,4,true,true,false,3,2,With colleagues,4,4,7
At work,Somewhat positive,Smartphone,2,134,Working,4,false,false,false,3,4,With colleagues,3,4,8
At home,Somewhat negative,Smartphone,3,114,Sleeping,1,false,true,true,1,1,Alone,1,8,0
In transit,Neutral,Smartwatch,3,121,Commuting,3,true,true,true,5,3,In a public,5,8,4
At home,Somewhat positive,Smartphone,3,128,Watching TV,4,true,false,true,1,4,With friends,3,8,5
At work,Neutral,Laptop/Desktop,3,135,Working,4,false,true,true,5,1,With colleagues,2,8,8
At work,Somewhat positive,Laptop/Desktop,4,115,Working,3,true,false,false,1,4,With colleagues,2,8,2
At work,Very positive,Laptop/Desktop,4,122,Other,3,true,false,false,1,5,With colleagues,1,8,3
At work,Neutral,Laptop/Desktop,4,129,Working,3,true,false,false,1,3,With colleagues,2,8,4
At home,Somewhat positive,Laptop/Desktop,4,136,Other,3,true,false,false,1,4,Alone,1,8,6
At home,Very positive,Smartphone,5,116,Using social media,2,true,false,false,1,5,With family,1,8,4
At home,Very positive,Smartphone,5,123,Other,2,true,false,false,1,5,Alone,1,8,4
At home,Very positive,Smartphone,5,130,Sleeping,1,true,true,false,1,4,Alone,1,8,5
In transit,Very positive,Smartphone,5,137,Commuting,2,false,true,false,1,5,With family,3,8,5
At study,Somewhat positive,Smartphone,6,117,Studying,4,false,true,false,5,3,In a public,5,8,1
Outdoors,Somewhat positive,Smartphone,6,124,Commuting,1,false,true,false,4,4,In a public,4,7,1
Outdoors,Somewhat positive,Smartphone,6,131,Other,2,true,false,false,4,5,With family,5,7,1
At home,Somewhat positive,Smartphone,6,138,Other,3,true,false,false,3,4,With family,3,7,1
At home,Neutral,Smartphone,7,118,Sleeping,2,false,true,false,1,3,Alone,1,8,0
At home,Neutral,Smartphone,7,125,Sleeping,3,true,true,false,1,1,Alone,1,8,0
At home,Somewhat negative,Laptop/Desktop,7,132,Studying,4,true,false,false,1,3,Alone,1,8,2
In transit,Neutral,Smartphone,7,139,Commuting,3,true,true,false,5,3,Alone,1,8,3
In transit,Neutral,Smartphone,8,119,Other,4,true,true,false,4,3,In a public,4,7,0
At work,Somewhat positive,Smartphone,8,126,Working,4,true,false,false,1,5,With colleagues,1,0,3
At study,Neutral,Smartphone,8,133,Studying,4,true,true,false,3,3,In a public,3,0,5
Outdoors,Neutral,Smartphone,8,140,Commuting,3,true,true,false,3,3,With friends,3,0,6
