location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Somewhat positive,Smartphone,2,309,Working,4,true,false,false,2,4,With colleagues,2,3,2
At work,Somewhat positive,Smartphone,2,316,Working,4,true,false,false,2,4,With colleagues,2,3,4
At work,Somewhat negative,Smartphone,2,323,Working,4,true,true,false,4,2,With colleagues,4,3,6
In transit,Neutral,Smartphone,2,330,Commuting,4,true,true,false,5,3,In a public,5,3,8
At home,Neutral,Smartphone,3,310,Sleeping,3,false,true,false,1,3,Alone,1,10,0
Outdoors,Somewhat positive,Smartphone,3,317,Using social media,4,true,false,false,3,5,Alone,1,10,1
At work,Somewhat negative,Laptop/Desktop,3,324,Working,4,false,true,false,5,3,With colleagues,5,10,4
At work,Neutral,Laptop/Desktop,3,331,Working,4,false,true,false,5,3,With colleagues,5,10,6
At home,Somewhat positive,Smartphone,4,311,Sleeping,3,false,true,false,2,4,Alone,2,7,0
At work,Neutral,Laptop/Desktop,4,318,Working,2,false,true,false,1,3,With colleagues,1,7,4
At work,Somewhat positive,Laptop/Desktop,4,325,Other,2,true,false,false,2,3,With colleagues,1,7,6
At work,Neutral,Laptop/Desktop,4,332,Working,2,false,true,false,2,3,With colleagues,1,8,7
At home,Very positive,Smartphone,5,312,Studying,3,true,false,false,1,5,With friends,3,9,0
At home,Somewhat positive,Laptop/Desktop,5,319,Working,4,true,false,false,1,4,Alone,1,9,2
At home,Somewhat positive,Laptop/Desktop,5,326,Using social media,3,true,false,false,2,4,With friends,3,9,4
At work,Neutral,Smartphone,5,333,Other,3,false,true,true,5,2,With colleagues,5,9,4
At work,Neutral,Smartphone,6,313,Working,3,true,false,false,4,3,With colleagues,3,7,3
Outdoors,Neutral,Smartphone,6,320,Exercising,3,true,false,false,3,3,Alone,3,7,2
Outdoors,Neutral,Smartphone,6,327,Studying,3,false,false,false,3,3,With friends,4,7,3
Outdoors,Very positive,Smartphone,6,334,Working,3,true,false,false,3,5,With friends,2,7,2
At home,Neutral,Smartphone,7,314,Sleeping,2,false,true,false,1,1,Alone,1,5,0
At home,Neutral,Smartphone,7,321,Sleeping,1,true,true,false,1,3,Alone,1,8,0
At home,Neutral,Smartphone,7,328,Other,1,true,false,false,1,1,Alone,1,8,0
Outdoors,Neutral,Smartphone,7,335,Commuting,4,true,true,false,3,2,With family,1,8,0
At work,Somewhat positive,Smartphone,8,315,Working,4,true,false,true,2,4,With colleagues,2,7,1
At work,Somewhat positive,Smartphone,8,322,Working,4,true,false,true,2,4,With colleagues,2,0,1
At work,Somewhat positive,Smartphone,8,329,Working,4,true,false,true,2,4,With colleagues,2,0,2
At work,Very negative,Smartphone,8,336,Working,4,true,true,true,5,1,With colleagues,5,0,1
