location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Neutral,Smartphone,2,337,Working,4,true,true,true,3,3,With colleagues,3,5,2
At work,Somewhat positive,Smartphone,2,344,Working,4,true,false,false,2,4,With colleagues,2,5,4
At work,Somewhat positive,Smartphone,2,351,Working,4,true,false,false,2,4,With colleagues,3,5,6
At work,Somewhat positive,Smartphone,2,358,Using social media,4,true,false,false,1,4,With colleagues,2,5,8
At home,Neutral,Smartphone,3,338,Sleeping,3,false,true,false,1,3,Alone,1,10,0
At home,Somewhat positive,Smartphone,3,345,Watching TV,4,true,false,false,1,4,Alone,1,10,1
At work,Neutral,Laptop/Desktop,3,352,Working,3,false,true,false,5,3,With colleagues,5,10,3
In transit,Somewhat negative,Smartwatch,3,359,Commuting,4,true,true,false,5,2,In a public,5,10,5
At work,Neutral,Laptop/Desktop,4,339,Working,2,false,true,false,1,3,With colleagues,1,7,1
In transit,Somewhat negative,Smartphone,4,346,Commuting,3,false,true,false,4,2,In a public,4,8,4
At work,Somewhat positive,Laptop/Desktop,4,353,Other,2,false,false,false,2,4,With colleagues,2,7,4
At work,Somewhat positive,Laptop/Desktop,4,360,Working,3,false,true,false,4,3,With colleagues,1,7,6
In transit,Somewhat positive,Smartphone,5,340,Commuting,1,false,false,false,2,3,With friends,1,5,0
Outdoors,Very positive,Smartphone,5,347,Other,4,true,false,false,2,4,With friends,3,5,0
In transit,Very positive,Smartphone,5,354,Commuting,1,false,true,false,2,4,With friends,2,5,0
At home,Very positive,Smartphone,5,361,Using social media,4,true,false,false,1,5,Alone,1,5,4
Outdoors,Neutral,Smartphone,6,341,Studying,3,true,false,false,3,3,With friends,4,7,2
Outdoors,Neutral,Smartphone,6,348,Studying,3,false,true,false,4,4,With friends,4,7,2
At home,Neutral,Smartphone,6,355,Working,3,true,false,false,3,3,Alone,3,7,2
At home,Somewhat positive,Smartphone,6,362,Using social media,3,true,false,false,3,4,Alone,3,7,6
At home,Neutral,Smartphone,7,342,Sleeping,2,false,true,false,1,1,Alone,1,4,0
At home,Neutral,Smartphone,7,349,Sleeping,2,true,true,false,1,1,Alone,1,6,0
At home,Neutral,Smartphone,7,356,Using social media,3,true,false,false,1,1,Alone,1,8,0
At home,Neutral,Smartphone,7,363,Working,3,true,true,false,1,3,Alone,1,8,2
At work,Somewhat positive,Smartphone,8,343,Working,4,true,false,true,2,4,With colleagues,2,4,2
At work,Somewhat positive,Smartphone,8,350,Working,4,true,false,true,2,4,With colleagues,2,0,2
At work,Somewhat positive,Smartphone,8,357,Working,4,true,false,true,2,4,With colleagues,2,0,2
At work,Very positive,Laptop/Desktop,8,364,Working,4,true,false,true,1,5,With colleagues,1,0,2
