location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At work,Somewhat positive,Smartphone,2,141,Using social media,4,true,false,false,2,4,With colleagues,2,6,2
At work,Somewhat negative,Smartphone,2,148,Working,4,true,true,false,3,2,With colleagues,2,6,4
At work,Neutral,Smartphone,2,155,Working,4,true,false,false,3,3,With colleagues,3,6,6
At work,Neutral,Smartphone,2,162,Working,4,true,false,false,3,3,With colleagues,3,6,8
Outdoors,Neutral,Smartphone,3,142,Exercising,4,true,false,false,1,3,Alone,1,6,0
At study,Somewhat positive,Smartphone,3,149,Studying,3,true,false,false,4,4,With friends,2,6,3
At work,Somewhat negative,Smartphone,3,156,Working,4,false,true,false,5,1,With colleagues,4,6,2
At work,Very positive,Smartphone,3,163,Working,4,true,false,false,1,2,With colleagues,3,6,4
At work,Somewhat positive,Laptop/Desktop,4,143,Working,3,true,false,false,1,4,With colleagues,1,8,0
At work,Somewhat positive,Laptop/Desktop,4,150,Working,3,true,false,false,1,4,With colleagues,1,8,1
At work,Somewhat positive,Laptop/Desktop,4,157,Working,2,true,false,false,1,3,With colleagues,1,8,4
At work,Very positive,Laptop/Desktop,4,164,Working,3,true,false,false,1,5,With colleagues,1,8,5
At home,Very positive,Smartphone,5,144,Other,2,true,false,false,1,5,Alone,1,9,3
At home,Somewhat positive,Smartphone,5,151,Using social media,3,true,false,false,2,4,With family,3,9,4
At home,Somewhat negative,Smartphone,5,158,Working,2,false,true,false,4,1,With family,4,9,5
At home,Very positive,Smartphone,5,165,Other,2,true,false,false,2,4,Alone,1,9,7
Outdoors,Somewhat positive,Smartphone,6,145,Other,3,true,false,false,3,4,In a public,3,7,1
Outdoors,Somewhat positive,Smartphone,6,152,Studying,4,true,false,false,3,4,In a public,3,7,1
At home,Somewhat positive,Smartphone,6,159,Using social media,4,true,false,false,3,4,With family,3,7,1
At home,Neutral,Smartphone,6,166,Working,3,false,false,false,3,2,Alone,3,7,1
At home,Neutral,Smartphone,7,146,Sleeping,2,false,true,false,1,3,Alone,1,7,0
At home,Somewhat positive,Smartphone,7,153,Exercising,4,true,false,false,1,4,Alone,1,7,0
At home,Somewhat negative,Laptop/Desktop,7,160,Working,4,true,false,false,1,2,Alone,1,7,2
At home,Neutral,Smartphone,7,167,Using social media,4,true,true,false,2,1,Alone,1,7,4
In transit,Neutral,Smartphone,8,147,Other,3,true,true,false,3,3,In a public,3,9,0
In transit,Neutral,Smartphone,8,154,Other,3,true,true,false,3,3,In a public,3,0,0
At work,Neutral,Smartphone,8,161,Commuting,3,true,true,false,3,3,With friends,3,0,3
Outdoors,Neutral,Laptop/Desktop,8,168,Commuting,3,true,true,false,3,3,With colleagues,3,0,0
