location,mood,device_type,user_id,notification_id,ongoing_activity,connection_rate,is_appropriate_time,is_busy,is_silent,location_distraction_rate,motivation_rate,surrounding_people,surrounding_people_distraction_rate,sleep_hours,work_hours
At home,Neutral,Smartphone,2,813,Other,4,true,false,false,2,3,Alone,3,7,0
Outdoors,Neutral,Smartphone,2,820,Exercising,4,true,true,false,5,3,In a public,5,7,0
At study,Neutral,Smartphone,2,827,Other,4,true,false,false,4,3,With friends,4,7,0
At study,Somewhat positive,Smartphone,2,834,Studying,4,true,false,false,2,5,With friends,2,7,0
At home,Very negative,Smartphone,3,814,Sleeping,2,false,true,false,1,1,Alone,1,10,0
In transit,Neutral,Smartwatch,3,821,Commuting,3,false,true,false,4,3,In a public,5,10,0
At study,Somewhat negative,Smartphone,3,828,Studying,3,false,true,false,4,3,With friends,2,10,0
At study,Neutral,Smartphone,3,835,Studying,4,false,true,false,4,3,With friends,3,10,0
Outdoors,Somewhat negative,Smartphone,4,815,Other,3,false,true,false,4,3,In a public,2,8,0
At study,Very negative,Smartphone,4,822,Using social media,3,false,true,false,4,1,With friends,3,8,1
Outdoors,Neutral,Other,4,829,Commuting,3,false,true,false,4,2,Alone,2,8,2
At work,Somewhat positive,Smartphone,4,836,Commuting,3,false,true,false,3,4,With friends,3,8,4
Outdoors,Somewhat positive,Smartphone,5,816,Other,2,false,true,false,4,2,With family,5,3,0
Outdoors,Very positive,Smartphone,5,823,Other,3,true,true,false,5,2,With family,5,3,0
In transit,Very positive,Smartphone,5,830,Commuting,2,true,false,false,3,3,In a public,4,3,0
At home,Very positive,Smartphone,5,837,Using social media,4,true,false,false,1,5,Alone,1,3,0
Outdoors,Very positive,Smartphone,6,817,Commuting,3,true,false,false,2,5,In a public,3,6,1
Outdoors,Neutral,Smartphone,6,824,Commuting,2,false,true,false,3,3,Alone,3,6,4
At study,Very positive,Smartphone,6,831,Working,3,true,false,false,2,5,With friends,1,6,4
In transit,Neutral,Smartphone,6,838,Commuting,2,false,true,false,4,3,In a public,5,6,6
Outdoors,Neutral,Smartphone,7,818,Other,3,false,true,false,5,1,In a public,5,7,0
Outdoors,Neutral,Smartphone,7,825,Other,4,false,true,false,5,1,With friends,4,7,0
Outdoors,Very positive,Smartphone,7,832,Other,4,true,false,false,1,5,With friends,1,7,0
In transit,Neutral,Smartphone,7,839,Commuting,4,false,true,false,5,1,With friends,1,7,0
Outdoors,Neutral,Smartphone,8,819,Commuting,4,true,false,true,3,3,With friends,3,0,9
Outdoors,Neutral,Smartphone,8,826,Commuting,4,true,false,true,3,3,With friends,3,1,0
Outdoors,Neutral,Smartphone,8,833,Commuting,4,true,false,false,3,3,With friends,3,0,1
Outdoors,Very positive,Laptop/Desktop,8,840,Commuting,4,true,false,false,1,5,With friends,1,0,2
